cond,item,layer,ent,log_T,log_I,log_F
agree,8,18,0.25646523875969174,-2.007553398749645,-4.941634675512363,-4.3696272733756345
agree,8,19,0.2736225077226881,-0.733947315669139,-4.620840205276368,-3.268430439647462
agree,8,20,0.3121373863638376,-0.6358122314104844,-4.514310002194681,-3.348515138992754
agree,8,21,0.32372051398572776,-1.0818726750654428,-4.577535460514763,-3.373374342420784
agree,8,22,0.20507999013869693,-1.2354551155546363,-4.7377071436275475,-2.856295027028133
agree,8,23,0.23619490456715841,-0.6222825852276759,-5.197263052923647,-3.284879505781422
agree,8,24,0.2856259707386677,-0.4899780561282592,-5.04409372245334,-3.0543574928975175
agree,8,25,0.26700341040392833,-0.33979284804504134,-5.411424839872656,-3.01242258126654
agree,8,26,0.19750475982771096,-0.1275776148723922,-5.787559871138526,-2.9275506429695604
agree,8,27,0.14272703166573905,-0.7708730399678811,-5.442352154267887,-3.162068332298988
agree,8,28,0.07693908701676187,-1.8601902405980673,-5.265510309971525,-4.017734671943262
agree,8,29,0.020502407752800194,-3.424111341940632,-5.5473397200577805,-5.216201326067554
agree,8,30,0.057471859051424684,-3.748045816193987,-4.89475607742549,-5.0236079388440675
agree,9,18,0.28749207871103,-3.2980808697459096,-5.246742551101956,-3.44158947980969
agree,9,19,0.18561309324434042,-4.794994195431493,-6.342351138038821,-4.63009152391014
agree,9,20,0.06205558476034796,-4.699178716176052,-6.061172393448684,-4.527538605520541
agree,9,21,0.04709762991832055,-4.858592235595421,-6.117887125898586,-4.751118823899029
agree,9,22,0.035555624670922895,-5.995299160958724,-7.571550655589641,-5.657680294408922
agree,9,23,0.0282198282518614,-7.354743870951844,-8.65858593029742,-7.711154954668274
agree,9,24,0.02332945644380387,-7.609642050817183,-8.70687025501464,-7.986605513537188
agree,9,25,0.039146909936737896,-7.992699458782606,-9.125334692591712,-8.480394096252757
agree,9,26,0.0061169969887008265,-9.838876163502023,-10.920272505728109,-10.112961483790667
agree,9,27,0.01976040691265919,-8.08757895465811,-9.174994887755197,-8.393470833772541
agree,9,28,0.015015936646351704,-7.1001737393537985,-8.278694173848987,-7.574911446563358
agree,9,29,0.01317828398487302,-6.588621861795298,-7.37902218622674,-7.055015789882377
agree,9,30,0.016333613543879365,-5.770553569658011,-6.718716146082916,-6.046135715403754
agree,10,18,0.09086302561788885,-4.46024775563436,-6.363785081855254,-5.151669403589238
agree,10,19,0.09241832031507737,-4.879567162077809,-6.015063307784777,-5.401032735803953
agree,10,20,0.2790898043015051,-3.308453574688227,-4.015609644349992,-3.6342248181536494
agree,10,21,0.2351891589091306,-2.9786195505219886,-3.685787754693001,-2.877092891192742
agree,10,22,0.1953494973396941,-2.1647006689964177,-4.177480207928138,-1.533199742530055
agree,10,23,0.21069942582846532,-1.7896483813890558,-4.077949681177582,-1.7091008446138305
