cond,item,layer,ent,log_T,log_I,log_F
conflict,2,24,0.08790323185801986,-2.875243847671995,-3.6980030840276035,-1.5731162831440102
conflict,2,25,0.04883186128337555,-3.1307576965493995,-4.285150700626859,-1.4526334651958361
conflict,2,26,0.04787824730948068,-2.528824664031805,-4.392441022642749,-1.4240968419230975
conflict,2,27,0.016833835405982683,-3.190057252262794,-5.0172370184234225,-1.8839466216235834
conflict,2,28,0.009974517301953013,-3.744513753158499,-5.014957342522681,-2.822215197738145
conflict,2,29,0.005105775464633754,-4.5304688454431785,-5.285371938221203,-3.886441058090294
conflict,2,30,0.03823785859665661,-4.043282297691345,-4.285462190764576,-3.3889879353738026
conflict,3,18,0.2088118990030916,-5.153994057675643,-6.147514766397517,-4.711462229931161
conflict,3,19,0.20662698407071747,-3.977675220834859,-5.525345566327503,-3.2030104975584583
conflict,3,20,0.17752891567156445,-4.6104638768707344,-6.175992415936038,-3.5855747284986874
conflict,3,21,0.1699764668825539,-5.188678595233213,-6.553641321298671,-4.471293137455891
conflict,3,22,0.18551617101521156,-4.676212784031097,-5.552910809083626,-3.110731262921279
conflict,3,23,0.20231457822766302,-3.7575605563268115,-4.9494707675518175,-1.942839691854321
conflict,3,24,0.22687470947396093,-3.359818825763149,-4.590293689030842,-1.7636096539509145
conflict,3,25,0.230366654253049,-3.425269694965381,-4.824499579873472,-1.4277622121170603
conflict,3,26,0.2568778011829302,-2.7346796753226257,-4.419099241826766,-1.2938633467455243
conflict,3,27,0.2373023897769906,-2.872096445680221,-4.048468133890372,-1.4829423810052402
conflict,3,28,0.19804593133162124,-3.551965469489616,-4.001962185384431,-2.454089746155276
conflict,3,29,0.08186657955876275,-4.448970944741109,-3.8867375291816657,-3.4943376385569738
conflict,3,30,0.09373069527878387,-4.53046091365567,-3.5528919300726143,-3.6247217506040252
conflict,4,18,0.1878966769252198,-4.258155620745793,-5.521320389711307,-3.926133035373817
conflict,4,19,0.20082441334919707,-2.976577207621576,-4.665342915041598,-2.243850398316996
conflict,4,20,0.1788764417367857,-3.1471889756566576,-5.0504779535718995,-2.347021800082176
conflict,4,21,0.16775808019421926,-4.009803898047239,-5.602070414399059,-2.962277983489675
